"Category","ConfigKey","WindowsValue","macOSCommand","Notes","Phase","Scope"
"Touchpad","touchpad_natural","false","","NSGlobalDomain com.apple.swipescrolldirection","pre","User"
"Power","sleep_ac","0","","pmset -c sleep <minutes>","pre","System"
"Power","sleep_dc","0","","pmset -b sleep <minutes>","pre","System"
"Appearance","night_light","false","","Night Shift (System Settings > Displays; the nightlight CLI can toggle it)","pre","User"
"DefaultApps","default_browser","edge","","macOS: defaultbrowser <token> (System Settings > Desktop & Dock)","post","User"
"Hosts","host_entry","0.0.0.0	asc.iobit.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","0.0.0.0	93.184.220.29:80","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","0.0.0.0	www.asc55.iobit.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","0.0.0.0	idb.iobit.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","0.0.0.0	is360.iobit.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","0.0.0.0	pf.iobit.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","0.0.0.0	98.129.229.186","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","0.0.0.0	www.iana.org","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   lm.licenses.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   lmlicenses.wip4.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   lm-prd-da1.licenses.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   activate.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   activate.wip4.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   practivate.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   practivate-da1.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   na1r.services.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   hlrcv.stage.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   uds.licenses.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   license.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   helpexamples.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   activate-sea.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   activate-sjc0.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   ereg.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   activate.wip3.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   ereg.wip3.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   wwis-dubc1-vip60.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   genuine.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   prod.adobegenuine.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   lm.licenses.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   lmlicenses.wip4.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   lm-prd-da1.licenses.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   activate.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   activate.wip4.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   practivate.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   practivate-da1.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   na1r.services.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   hlrcv.stage.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   uds.licenses.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   license.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   helpexamples.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   activate-sea.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   activate-sjc0.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   ereg.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   activate.wip3.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   ereg.wip3.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   wwis-dubc1-vip60.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   genuine.adobe.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1   prod.adobegenuine.com","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","10.112.60.14 host.docker.internal","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","10.112.60.14 gateway.docker.internal","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Hosts","host_entry","127.0.0.1 kubernetes.docker.internal","","macOS: merge into /etc/hosts (then dscacheutil -flushcache)","pre","System"
"Printers","printer","LU-card-printer|http://127.0.0.1:9177/ipp/webprint.leidenuniv.nl_9164/4c552d636172642d7072696e746572/printers/LU-card-printer","","macOS: CUPS lpadmin (best-effort)","pre","System"
"NetConfig","static_net","Ethernet 5|192.168.46.1||","","macOS: networksetup -setmanual / -setdnsservers (manual note)","pre","System"
"NetConfig","static_net","VMware Network Adapter VMnet1|192.168.88.1||","","macOS: networksetup -setmanual / -setdnsservers (manual note)","pre","System"
"NetConfig","static_net","VMware Network Adapter VMnet11|192.168.171.1||","","macOS: networksetup -setmanual / -setdnsservers (manual note)","pre","System"
"NetConfig","static_net","vEthernet (Default Switch)|172.23.160.1||","","macOS: networksetup -setmanual / -setdnsservers (manual note)","pre","System"
"NetConfig","static_net","VMware Network Adapter VMnet12|172.23.124.1||","","macOS: networksetup -setmanual / -setdnsservers (manual note)","pre","System"
"NetConfig","static_net","vEthernet (WSL (Hyper-V firewall))|172.18.80.1||","","macOS: networksetup -setmanual / -setdnsservers (manual note)","pre","System"
"NetConfig","static_net","Ethernet 3|192.168.56.1||","","macOS: networksetup -setmanual / -setdnsservers (manual note)","pre","System"
"NetConfig","static_net","NordLynx|10.5.0.2||","","macOS: networksetup -setmanual / -setdnsservers (manual note)","pre","System"
"NetConfig","static_net","Wi-Fi 2||10.112.63.254 1.1.1.1|10.112.10.254,10.112.11.254","","macOS: networksetup -setmanual / -setdnsservers (manual note)","pre","System"
"NetConfig","static_net","OpenVPN Data Channel Offload for NordVPN|||103.86.96.100,103.86.99.100","","macOS: networksetup -setmanual / -setdnsservers (manual note)","pre","System"
"Wifi","wifi_profile","eduroam|wpa||none","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","somenet|open||none","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","V.momen|wpa|U2FsdGVkX19vvnWu7tXSlcluvWx5flN2qjpaPMxvXrg=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","Tbilisi Loves You|open||none","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","Tbilisi Airport Free|open||none","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","Simorgh-WiFi|open||none","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","Shatel|wpa|U2FsdGVkX1/PtPlTfE0/r93xofKjRk9vVFpK4BLBG/g=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","SHAW-48EE|wpa|U2FsdGVkX1+yMMHReYQmcNk4QShH25C7mZIxQZdPHic=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","Redmi Note 10 Pro Max|wpa|U2FsdGVkX1+mkQ9W/pYcz5A17IehRj62O7gx/FsaprE=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","Parsway|wpa|U2FsdGVkX18soUnbdnuGLsx82wKBhp9+aU1dRQQ5Z3E=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","NZT9930134C|wpa|U2FsdGVkX19JsgXCOcyMdbnjGGvbO7uUDZrXhCQeyME=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","Mofid-GoHyper!|open||none","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","Jobvision-WiFi|wpa|U2FsdGVkX1/iKWzaBkepMWEBh5OybRFv9i5dT13amS4=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","JobVision_DLink|wpa|U2FsdGVkX1+8l6U/KmQWdMS5SDhoGwvU6GpghNZ+IMo=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","JobVision-3rd|wpa|U2FsdGVkX18FeZnzkLCObgRn8E1eeiOstnSjxQ+9k88=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","JobVision|wpa|U2FsdGVkX18cwLUpzACSdN2tEX3bnJqgxYL473sBhrs=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","Galaxy A51|wpa|U2FsdGVkX19l2ZHR24T9HYPo42tP/orvIboZJ0nQfbE=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","Fatemeh's Galaxy A71|wpa|U2FsdGVkX18c9CzgBFbHa+dtXumqAaZceLmjyMbAN6w=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","AndroidAPA50|wpa|U2FsdGVkX18Ika6JDrBitv++K3+d8WIrmwmV02xyPGo=|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Wifi","wifi_profile","DivorceHousing|wpa|U2FsdGVkX182tKjF026Ww+H/xCdaFc4iG9H8TUPhnEn9iBBZT6n+qBotM8iRBTum|enc","","macOS: networksetup -addpreferredwirelessnetworkatindex","pre","System"
"Firewall","fw_rule","Microsoft Edge WebView2 mDNS [UDP]|Inbound|Allow|True|UDP|5353|Any|%SystemRoot%\system32\Microsoft-Edge-WebView\msedgewebview2.exe|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Remote Desktop - (TCP-WSS-In)|Inbound|Allow|False|TCP|3392|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Remote Desktop - Shadow (TCP-In)|Inbound|Allow|False|TCP|Any|Any|%SystemRoot%\system32\RdpSa.exe|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Remote Desktop - User Mode (UDP-In)|Inbound|Allow|False|UDP|3389|Any|%SystemRoot%\system32\svchost.exe|termservice","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Remote Desktop - User Mode (TCP-In)|Inbound|Allow|False|TCP|3389|Any|%SystemRoot%\system32\svchost.exe|termservice","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V Replica HTTP Listener (TCP-In)|Inbound|Allow|False|TCP|80|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V (RPC)|Inbound|Allow|True|TCP|RPC|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V (RPC-EPMAP)|Inbound|Allow|True|TCP|RPCEPMap|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V - WMI (DCOM-In)|Inbound|Allow|True|TCP|135|Any|%SystemRoot%\system32\svchost.exe|rpcss","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V Management Clients - WMI (TCP-Out)|Outbound|Allow|True|TCP|Any|Any|%SystemRoot%\system32\svchost.exe|winmgmt","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V (MIG-TCP-In)|Inbound|Allow|True|TCP|6600|Any|%systemroot%\system32\vmms.exe|vmms","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V - WMI (TCP-Out)|Outbound|Allow|True|TCP|Any|Any|%SystemRoot%\system32\svchost.exe|winmgmt","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V Management Clients - WMI (Async-In)|Inbound|Allow|True|TCP|Any|Any|%SystemRoot%\system32\wbem\unsecapp.exe|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V Management Clients - WMI (TCP-In)|Inbound|Allow|True|TCP|Any|Any|%SystemRoot%\system32\svchost.exe|winmgmt","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V Management Clients - WMI (DCOM-In)|Inbound|Allow|True|TCP|135|Any|%SystemRoot%\system32\svchost.exe|rpcss","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V (REMOTE_DESKTOP_TCP_IN)|Inbound|Allow|True|TCP|2179|Any|%systemroot%\system32\vmms.exe|vmms","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V - WMI (Async-In)|Inbound|Allow|True|TCP|Any|Any|%systemroot%\system32\wbem\unsecapp.exe|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V - WMI (TCP-In)|Inbound|Allow|True|TCP|Any|Any|%SystemRoot%\system32\svchost.exe|winmgmt","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Hyper-V Replica HTTPS Listener (TCP-In)|Inbound|Allow|False|TCP|443|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Echo Request - ICMPv6-In)|Inbound|Allow|False|ICMPv6|RPC|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (LLMNR-UDP-Out)|Outbound|Allow|False|UDP|Any|5355|%SystemRoot%\system32\svchost.exe|dnscache","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (LLMNR-UDP-In)|Inbound|Allow|False|UDP|5355|Any|%SystemRoot%\system32\svchost.exe|dnscache","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv4-In)|Inbound|Allow|False|ICMPv4|RPC|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Datagram-In)|Inbound|Allow|False|UDP|138|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Name-Out)|Outbound|Allow|False|UDP|Any|137|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","WFD ASP Coordination Protocol (UDP-In)|Inbound|Allow|True|UDP|7235|7235|%systemroot%\system32\svchost.exe|WlanSvc","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","WFD Driver-only (UDP-Out)|Outbound|Allow|True|UDP|Any|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv6-In)|Inbound|Allow|False|ICMPv6|RPC|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","Inbound Rule for Remote Shutdown (RPC-EP-In)|Inbound|Allow|False|TCP|RPCEPMap|Any|%systemroot%\system32\wininit.exe|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-Out)|Outbound|Allow|False|ICMPv4|RPC|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Spooler Service - RPC-EPMAP)|Inbound|Allow|False|TCP|RPCEPMap|Any|%SystemRoot%\system32\svchost.exe|Rpcss","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv6-In)|Inbound|Allow|False|ICMPv6|RPC|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Session-Out)|Outbound|Allow|False|TCP|Any|139|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","WFD Driver-only (TCP-Out)|Outbound|Allow|True|TCP|Any|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Datagram-Out)|Outbound|Allow|False|UDP|Any|138|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-In)|Inbound|Allow|False|ICMPv4|RPC|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Spooler Service Worker - RPC)|Inbound|Allow|False|TCP|RPC|Any|%SystemRoot%\system32\spoolsvworker.exe|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv6-Out)|Outbound|Allow|False|ICMPv6|RPC|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (SMB-In)|Inbound|Allow|False|TCP|445|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","WFD Driver-only (UDP-In)|Inbound|Allow|True|UDP|Any|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","WFD Driver-only (TCP-In)|Inbound|Allow|True|TCP|Any|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (SMB-Out)|Outbound|Allow|False|TCP|Any|445|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (SMB-In)|Inbound|Allow|False|TCP|445|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Spooler Service Worker - RPC)|Inbound|Allow|False|TCP|RPC|Any|%SystemRoot%\system32\spoolsvworker.exe|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv4-In)|Inbound|Allow|False|ICMPv4|RPC|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Session-In)|Inbound|Allow|False|TCP|139|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (Spooler Service - RPC)|Inbound|Allow|False|TCP|RPC|Any|%SystemRoot%\system32\spoolsv.exe|Spooler","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Name-In)|Inbound|Allow|False|UDP|137|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Echo Request - ICMPv6-Out)|Outbound|Allow|False|ICMPv6|RPC|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Spooler Service - RPC-EPMAP)|Inbound|Allow|False|TCP|RPCEPMap|Any|%SystemRoot%\system32\svchost.exe|Rpcss","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (LLMNR-UDP-Out)|Outbound|Allow|False|UDP|Any|5355|%SystemRoot%\system32\svchost.exe|dnscache","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (Restrictive) (LLMNR-UDP-In)|Inbound|Allow|False|UDP|5355|Any|%SystemRoot%\system32\svchost.exe|dnscache","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Session-Out)|Outbound|Allow|False|TCP|Any|139|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","WFD ASP Coordination Protocol (UDP-Out)|Outbound|Allow|True|UDP|7235|7235|%systemroot%\system32\svchost.exe|WlanSvc","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
"Firewall","fw_rule","File and Printer Sharing (NB-Name-In)|Inbound|Allow|False|UDP|137|Any|System|","","macOS: socketfilterfw (per-app) / pf anchor (per-port)","pre","System"
